ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:47:46Z,404,hpa,patient-data,1,1,16,1
2026-07-13T00:47:46Z,404,hpa,data-transform,1,1,7,1
2026-07-13T00:47:51Z,409,hpa,api-gateway,1,1,32,1
2026-07-13T00:47:51Z,409,hpa,authorization,1,1,8,1
2026-07-13T00:47:51Z,409,hpa,patient-data,1,1,16,1
2026-07-13T00:47:51Z,409,hpa,data-transform,1,1,7,1
2026-07-13T00:47:56Z,414,hpa,api-gateway,1,1,32,1
2026-07-13T00:47:56Z,414,hpa,authorization,1,1,8,1
2026-07-13T00:47:56Z,414,hpa,patient-data,1,1,16,1
2026-07-13T00:47:56Z,414,hpa,data-transform,1,1,7,1
2026-07-13T00:48:02Z,420,hpa,api-gateway,1,1,33,1
2026-07-13T00:48:02Z,420,hpa,authorization,1,1,9,1
2026-07-13T00:48:02Z,420,hpa,patient-data,1,1,15,1
2026-07-13T00:48:02Z,420,hpa,data-transform,1,1,8,1
2026-07-13T00:48:07Z,425,hpa,api-gateway,1,1,33,1
2026-07-13T00:48:07Z,425,hpa,authorization,1,1,9,1
2026-07-13T00:48:07Z,425,hpa,patient-data,1,1,15,1
2026-07-13T00:48:07Z,425,hpa,data-transform,1,1,8,1
2026-07-13T00:48:12Z,430,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:12Z,430,hpa,authorization,1,1,9,1
2026-07-13T00:48:12Z,430,hpa,patient-data,1,1,15,1
2026-07-13T00:48:12Z,430,hpa,data-transform,1,1,6,1
2026-07-13T00:48:18Z,436,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:18Z,436,hpa,authorization,1,1,9,1
2026-07-13T00:48:18Z,436,hpa,patient-data,1,1,15,1
2026-07-13T00:48:18Z,436,hpa,data-transform,1,1,6,1
2026-07-13T00:48:23Z,441,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:23Z,441,hpa,authorization,1,1,9,1
2026-07-13T00:48:23Z,441,hpa,patient-data,1,1,15,1
2026-07-13T00:48:23Z,441,hpa,data-transform,1,1,6,1
2026-07-13T00:48:28Z,446,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:28Z,446,hpa,authorization,1,1,8,1
2026-07-13T00:48:28Z,446,hpa,patient-data,1,1,15,1
2026-07-13T00:48:28Z,446,hpa,data-transform,1,1,6,1
2026-07-13T00:48:34Z,452,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:34Z,452,hpa,authorization,1,1,8,1
2026-07-13T00:48:34Z,452,hpa,patient-data,1,1,15,1
2026-07-13T00:48:34Z,452,hpa,data-transform,1,1,6,1
2026-07-13T00:48:39Z,457,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:39Z,457,hpa,authorization,1,1,8,1
2026-07-13T00:48:39Z,457,hpa,patient-data,1,1,15,1
2026-07-13T00:48:39Z,457,hpa,data-transform,1,1,6,1
2026-07-13T00:48:44Z,462,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:44Z,462,hpa,authorization,1,1,10,1
2026-07-13T00:48:44Z,462,hpa,patient-data,1,1,15,1
2026-07-13T00:48:44Z,462,hpa,data-transform,1,1,6,1
2026-07-13T00:48:50Z,468,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:50Z,468,hpa,authorization,1,1,10,1
2026-07-13T00:48:50Z,468,hpa,patient-data,1,1,15,1
2026-07-13T00:48:50Z,468,hpa,data-transform,1,1,6,1
2026-07-13T00:48:55Z,473,hpa,api-gateway,1,1,28,1
2026-07-13T00:48:55Z,473,hpa,authorization,1,1,10,1
2026-07-13T00:48:55Z,473,hpa,patient-data,1,1,15,1
2026-07-13T00:48:55Z,473,hpa,data-transform,1,1,6,1
2026-07-13T00:49:00Z,478,hpa,api-gateway,1,1,25,1
2026-07-13T00:49:00Z,478,hpa,authorization,1,1,8,1
2026-07-13T00:49:00Z,478,hpa,patient-data,1,1,16,1
2026-07-13T00:49:00Z,478,hpa,data-transform,1,1,8,1
2026-07-13T00:49:06Z,484,hpa,api-gateway,1,1,25,1
2026-07-13T00:49:06Z,484,hpa,authorization,1,1,8,1
